,^NYICDX,TWD=X,JPY=X,CNY=X,CNH=X,2330.TW,2454.TW,2303.TW,2317.TW,2382.TW,3231.TW,2603.TW,2609.TW,2615.TW,9921.TW,9914.TW
2026-04-17,98.0999984741211,31.558000564575195,159.19500732421875,6.821100234985352,6.741720199584961,2030.0,1925.0,73.0,206.0,323.0,136.5,198.0,50.70000076293945,75.30000305175781,69.19999694824219,60.900001525878906
2026-04-19,98.0999984741211,31.468000411987305,159.16099548339844,6.816999912261963,6.741720199584961,2030.0,1925.0,73.0,206.0,323.0,136.5,198.0,50.70000076293945,75.30000305175781,69.19999694824219,60.900001525878906
2026-04-20,98.05000305175781,31.41900062561035,158.843994140625,6.817399978637695,6.741720199584961,2025.0,1900.0,76.9000015258789,207.5,329.0,140.5,197.0,50.099998474121094,73.69999694824219,69.19999694824219,60.70000076293945
2026-04-21,98.41000366210938,31.48200035095215,159.3730010986328,6.820799827575684,6.741720199584961,2050.0,2090.0,76.19999694824219,211.0,340.0,144.5,201.5,50.70000076293945,74.0,70.30000305175781,61.599998474121094
2026-04-22,98.58999633789062,31.466800689697266,159.48800659179688,6.82420015335083,6.741720199584961,2050.0,2295.0,78.5999984741211,221.0,335.0,144.0,202.0,50.5,74.5,70.5,61.5
2026-04-23,98.80000305175781,31.530000686645508,159.7469940185547,6.826000213623047,6.741720199584961,2080.0,2215.0,73.5999984741211,225.0,322.0,139.5,201.0,50.099998474121094,73.9000015258789,68.69999694824219,59.900001525878906
2026-04-24,98.51000213623047,31.530000686645508,159.7469940185547,6.826000213623047,6.741720199584961,2185.0,2435.0,74.5,221.5,323.0,141.5,201.5,50.099998474121094,74.19999694824219,67.30000305175781,57.5
2026-04-26,98.51000213623047,31.440000534057617,159.5760040283203,6.835899829864502,6.741720199584961,2185.0,2435.0,74.5,221.5,323.0,141.5,201.5,50.099998474121094,74.19999694824219,67.30000305175781,57.5
2026-04-27,98.4800033569336,31.455699920654297,159.35699462890625,6.822800159454346,6.741720199584961,2265.0,2435.0,72.69999694824219,228.0,325.5,142.5,199.5,49.349998474121094,74.5999984741211,66.0,57.20000076293945
2026-04-28,98.62000274658203,31.51300048828125,159.552001953125,6.837399959564209,6.741720199584961,2215.0,2615.0,75.0999984741211,225.5,321.0,140.5,200.0,49.5,75.0,65.30000305175781,56.599998474121094
2026-04-29,98.91999816894531,31.62649917602539,160.1840057373047,6.837500095367432,6.741720199584961,2180.0,2575.0,74.5,225.0,322.0,140.5,201.5,49.349998474121094,75.69999694824219,66.4000015258789,57.900001525878906
2026-04-30,98.08000183105469,31.569000244140625,156.97799682617188,6.827300071716309,6.741720199584961,2135.0,2610.0,77.30000305175781,219.5,312.5,137.0,202.0,49.150001525878906,74.5999984741211,67.4000015258789,57.900001525878906
2026-05-01,98.20999908447266,31.569000244140625,156.97799682617188,6.827300071716309,6.741720199584961,2135.0,2610.0,77.30000305175781,219.5,312.5,137.0,202.0,49.150001525878906,74.5999984741211,67.4000015258789,57.900001525878906
2026-05-03,98.20999908447266,31.554000854492188,156.8459930419922,6.827499866485596,6.741720199584961,2135.0,2610.0,77.30000305175781,219.5,312.5,137.0,202.0,49.150001525878906,74.5999984741211,67.4000015258789,57.900001525878906
2026-05-04,98.47000122070312,31.597999572753906,157.19400024414062,6.829999923706055,6.741720199584961,2275.0,2870.0,81.19999694824219,227.5,318.0,140.5,206.0,49.95000076293945,75.5999984741211,68.9000015258789,57.900001525878906
2026-05-05,98.4800033569336,31.545000076293945,157.677001953125,6.830100059509277,6.741720199584961,2250.0,3155.0,83.0999984741211,239.5,321.0,142.0,208.0,50.099998474121094,77.0,69.30000305175781,58.20000076293945
2026-05-06,98.0199966430664,31.398500442504883,156.50799560546875,6.810999870300293,6.741720199584961,2250.0,3430.0,91.4000015258789,252.0,346.5,146.5,212.0,50.599998474121094,77.80000305175781,68.80000305175781,56.400001525878906
2026-05-07,98.25,31.392099380493164,156.82899475097656,6.801400184631348,6.741720199584961,2310.0,3420.0,96.5,253.5,344.0,146.0,213.5,50.70000076293945,78.19999694824219,67.80000305175781,56.099998474121094
2026-05-08,97.83999633789062,31.392099380493164,156.82899475097656,6.801400184631348,6.741720199584961,2290.0,3630.0,91.30000305175781,250.0,340.5,146.5,211.5,49.900001525878906,76.5,66.0,55.70000076293945
2026-05-10,97.83999633789062,31.301000595092773,156.85800170898438,6.80049991607666,6.741720199584961,2290.0,3630.0,91.30000305175781,250.0,340.5,146.5,211.5,49.900001525878906,76.5,66.0,55.70000076293945
2026-05-11,97.94000244140625,31.3518009185791,157.2310028076172,6.7947998046875,6.741720199584961,2235.0,3880.0,95.0,252.0,343.5,139.0,214.0,50.79999923706055,78.5,69.80000305175781,57.5
2026-05-12,98.29000091552734,31.501100540161133,157.67100524902344,6.791999816894531,6.741720199584961,2255.0,3700.0,104.5,250.0,340.0,141.5,214.0,50.099998474121094,76.9000015258789,72.0999984741211,59.5
